OBJETO DE CONHECIMENTO;BIMESTRE
SEQUÊNCIA NUMÉRICA RECURSIVA (OU RECORRENTE) FORMADA POR MÚLTIPLOS DE UM NÚMERO NATURAL: IDENTIFICAÇÃO DE PADRÃO E DE REGULARIDADE NA SEQUÊNCIA DE NÚMEROS MÚLTIPLOS.;10
ÂNGULOS RETOS E NÃO RETOS: USO DE DOBRADURAS, ESQUADROS E SOFTWARES.;10
ANÁLISE DE CHANCES DE EVENTOS ALEATÓRIOS: IDENTIFICAÇÃO DE EVENTOS POSSÍVEIS E IMPOSSÍVEIS.;10
ANÁLISE DE CHANCES DE EVENTOS ALEATÓRIOS: IDENTIFICAÇÃO DE EVENTO PROVÁVEL E IMPROVÁVEL.;10
ANÁLISE DE CHANCES DE EVENTOS ALEATÓRIOS: IDENTIFICAÇÃO DE EVENTO CERTO.;10
ANÁLISE DE CHANCES DE EVENTOS ALEATÓRIOS: VERIFICAÇÃO DA ALEATORIEDADE DOS EVENTOS.;10
ANÁLISE DE CHANCES DE EVENTOS ALEATÓRIOS: IDENTIFICAÇÃO DE EVENTOS COTIDIANOS (AQUELES QUE TÊM MAIOR CHANCE DE OCORRÊNCIA).;10
ÁREAS DE FIGURAS CONSTRUÍDAS EM MALHAS QUADRICULADAS: ÁREAS DE FIGURAS PLANAS USANDO MALHAS QUADRICULADAS.;10
ÁREAS DE FIGURAS CONSTRUÍDAS EM MALHAS QUADRICULADAS: IGUALDADE DE ÁREAS DE FIGURAS COM FORMATOS DIFERENTES.;10
PROBLEMAS DE CONTAGEM: PROBLEMAS DE COMBINATÓRIA UTILIZANDO MATERIAIS MANIPULÁVEIS, COMO SEMENTES, FLORES, FOLHAS E MATERIAIS REUTILIZÁVEIS.;11
NúMEROS RACIONAIS: FRAÇõES UNITÀRIAS MAIS USUAIS (1/2, 1/3, 1/4, 1/5, 1/10 E 1/100) - CONCEITO, LEITURA, UTILIZAÇÃO E POSIÇÃO NA RETA NUMÉRICA.;11
NÚMEROS RACIONAIS: COMPARAR E ORDENAR FRAÇÕES COM MESMO DENOMINADOR.;11
"SEQUÊNCIA NUMÉRICA RECURSIVA FORMADA POR NÚMEROS QUE DEIXAM O MESMO RESTO AO SEREM DIVIDIDOS POR UM MESMO NÚMERO NATURAL DIFERENTE DE ZERO: Reconhecimento por meio de investigações, que há grupos de números naturais para os quais as divisões por um determinado número resultam em restos iguais, identificando regularidades, que implica em identificar dividendo, divisor, quociente e resto de uma divisão; ";11
SEQUÊNCIA NUMÉRICA RECURSIVA FORMADA POR NÚMEROS QUE DEIXAM O MESMO RESTO AO SEREM DIVIDIDOS POR UM MESMO NÚMERO NATURAL DIFERENTE DE ZERO: REGULARIDADE DA SEQUÊNCIA.;11
ANÁLISE DE DADOS: LEITURA, INTERPRETAÇÃO E REPRESENTAÇÃO DE DADOS EM TABELAS DE DUPLA ENTRADA, GRÁFICOS DE COLUNAS SIMPLES E AGRUPADAS, GRÁFICOS DE COLUNAS, GRÁFICO DE BARRAS E GRÁFICOS PICTÓRICOS.;11
MEDIDAS DE TEMPO: LEITURA DE HORAS EM RELÓGIOS DIGITAIS E ANALÓGICOS.;11
MEDIDAS DE TEMPO: DURAÇÃO DE EVENTOS E RELAÇÕES ENTRE UNIDADES DE MEDIDA DE TEMPO (H/MIN/S).;11
MEDIDAS DE TEMPERATURA EM GRAU CELSIUS - CONSTRUÇÃO DE GRÁFICOS PARA INDICAR A VARIAÇÃO DA TEMPERATURA (MÍNIMA E MÁXIMA) MEDIDA EM UM DADO DIA OU EM UMA SEMANA: GRAU CELSIUS;11
MEDIDAS DE TEMPERATURA EM GRAU CELSIUS - CONSTRUÇÃO DE GRÁFICOS PARA INDICAR A VARIAÇÃO DA TEMPERATURA (MÍNIMA E MÁXIMA) MEDIDA EM UM DADO DIA OU EM UMA SEMANA: COMPARAÇÃO DE TEMPERATURAS NO BRASIL E EXTERIOR.;11
MEDIDAS DE TEMPERATURA EM GRAU CELSIUS - CONSTRUÇÃO DE GRÁFICOS PARA INDICAR A VARIAÇÃO DA TEMPERATURA (MÍNIMA E MÁXIMA) MEDIDA EM UM DADO DIA OU EM UMA SEMANA: TEMPERATURAS MÁXIMAS E MÍNIMAS.;11
MEDIDAS DE TEMPERATURA EM GRAU CELSIUS - CONSTRUÇÃO DE GRÁFICOS PARA INDICAR A VARIAÇÃO DA TEMPERATURA (MÍNIMA E MÁXIMA) MEDIDA EM UM DADO DIA OU EM UMA SEMANA: GRÁFICOS DE COLUNAS.  PLANILHAS ELETRÔNICAS.;11
NÚMEROS RACIONAIS - REPRESENTAÇÃO DECIMAL PARA ESCREVER VALORES DO SISTEMA MONETÁRIO BRASILEIRO: NÚMEROS RACIONAIS.;12
NÚMEROS RACIONAIS - REPRESENTAÇÃO DECIMAL PARA ESCREVER VALORES DO SISTEMA MONETÁRIO BRASILEIRO: REPRESENTAÇÃO DECIMAL.;12
NÚMEROS RACIONAIS - REPRESENTAÇÃO DECIMAL PARA ESCREVER VALORES DO SISTEMA MONETÁRIO BRASILEIRO: SISTEMA MONETÁRIO BRASILEIRO.;12
PROPRIEDADES DA IGUALDADE: RECONHECER O SENTIDO DE EQUIVALÊNCIA NO SINAL DA IGUALDADE.;12
PROPRIEDADES DA IGUALDADE: RELAÇÃO DE IGUALDADE ENTRE DUAS SENTENÇAS MATEMÁTICAS AO SE SOMAR OU MULTIPLICAR AMBOS OS LADOS PELO MESMO NÚMERO NATURAL.;12
PROPRIEDADES DA IGUALDADE: OPERAÇÕES COM NÚMEROS NATURAIS.;12
SIMETRIA DE REFLEXÃO: SIMETRIA DE REFLEXÃO EM FIGURAS CONGRUENTES, COM O USO DE MALHAS QUADRICULADAS E DE SOFTWARES DE GEOMETRIA DINÂMICA.;12
PESQUISA: COMPREENSÃO DO USO DE VARIÁVEIS CATEGÓRICAS E NUMÉRICAS.;12
PESQUISA: DIFERENCIAÇÃO ENTRE VARIÁVEIS CATEGÓRICAS E VARIÁVEIS NUMÉRICAS.;12
PESQUISA: REPRESENTAÇÃO DE DADOS DE PESQUISA REALIZADA.;12
PROBLEMAS UTILIZANDO O SISTEMA MONETÁRIO BRASILEIRO: LEITURA, RESOLUÇÃO E ELABORAÇÃO DE PROBLEMAS UTILIZANDO O SISTEMA MONETÁRIO BRASILEIRO.;12
PROBLEMAS UTILIZANDO O SISTEMA MONETÁRIO BRASILEIRO: CONSUMO CONSCIENTE.;12
