OBJETO DE CONHECIMENTO;BIMESTRE
POSI«’ES RELATIVAS: DIST¬NCIAS;2
PROBLEMAS ENVOLVENDO ADI«√O DE PARCELAS IGUAIS MULTIPLICA«√O): MULTIPLICA«√O COMO UMA ADI«√O DE PARCELAS IGUAIS.;3
PROBLEMAS ENVOLVENDO ADI«√O DE PARCELAS IGUAIS MULTIPLICA«√O):PROBLEMAS E RESOLU«ıES DO COTIDIANOE NA REALIDADE AMAZ‘NICA.;3
IDENTIFICA«√O DE REGULARIDADE DE SEQUÍNCIAS E DETERMINA«√O DE ELEMENTOS AUSENTES NA SEQUÍNCIA: PADRıES E REGULARIDADES UTILIZANDO PALAVRAS, SÕMBOLOS E/OU DESENHOS.;3
FIGURAS GEOM…TRICAS ESPACIAIS (CUBO, BLOCO RETANGULAR, PIR¬MIDE, CONE, CILINDRO E ESFERA) - RECONHECIMENTO E CARACTERÕSTICAS: RECONHECIMENTO, NOMEA«√O E COMPARA«√O DE FIGURAS GEOM…TRICAS ESPACIAIS E SEUS ELEMENTOS.;3
COLETA, CLASSIFICA«√O E REPRESENTA«√O DE DADOS EM TABELAS SIMPLES E DE DUPLA ENTRADA E EM GR¡FICOS DE COLUNAS: COMPARAR INFORMA«ıES EM TABELAS SIMPLES E DE DUPLA ENTRADA.;3
COLETA, CLASSIFICA«√O E REPRESENTA«√O DE DADOS EM TABELAS SIMPLES E DE DUPLA ENTRADA E EM GR¡FICOS DE COLUNAS: GR¡FICOS DE COLUNA OU EM BARRAS.;3
MEDIDAS DE TEMPO: INTERVALO DE TEMPO, USO DO CALEND¡RIO, LEITURA DE HORAS EM REL”GIOS DIGITAIS E ORDENA«√O DE DATAS.;3
MEDIDAS DE TEMPO: INTERVALO DE TEMPO, USO DO CALEND¡RIO, ORDENA«√O DE DATAS, LEITURA DE HORAS EM REL”GIOS DIGITAIS E EM INTERVALOS DE HOR¡RIOS DE INÕCIO E FIM.;3
PARALELISMO NO ESPA«O;3
PROJE«√O ORTOGONAL;3
PROBLEMAS ENVOLVENDO ADI«√O DE PARCELAS IGUAIS MULTIPLICA«√O):MULTIPLICA«√O COMO UMA ADI«√O DE PARCELAS IGUAIS.;4
PROBLEMAS ENVOLVENDO ADI«√O DE PARCELAS IGUAIS (MULTIPLICA«√O):PROBLEMAS E RESOLU«ıES DO COTIDIANO E NA REALIDADE AMAZ‘NICA.;4
PROBLEMAS ENVOLVENDO SIGNIFICADO DE DOBRO, METADE, TRIPLO E TER«A PARTE:PROBLEMAS COM MULTIPLICA«√O E DIVIS√O.;4
PROBLEMAS ENVOLVENDO SIGNIFICADO DE DOBRO, METADE, TRIPLO E TER«A PARTE: SIGNIFICADOS DAS PALAVRAS QUE LEVAM A MULTIPLICAR/DIVIDIR.;4
IDENTIFICA«√O DE REGULARIDADE DE SEQUÍNCIAS E DETERMINA«√O DE ELEMENTOS AUSENTES NA SEQUÍNCIA: SEQUÍNCIAS COM PADRıES E REGULARIDADES COM N˙MEROS NATURAIS, OBJETOS OU FIGURAS.;4
FIGURAS GEOM…TRICAS PLANAS (CÕRCULO, QUADRADO, RET‚NGULO E TRI‚NGULO):RECONHECIMENTO, COMPARA«√O E NOMEA«√O DE FIGURAS GEOM…TRICAS PLANAS E SUAS CARACTERÕSTICAS.;4
COLETA, CLASSIFICA«√O E REPRESENTA«√O DE DADOS EM TABELAS SIMPLES E DE DUPLA ENTRADA E EM GR¡FICOS DE COLUNAS: PESQUISA COM N˙MERO DE ELEMENTOS DEFINIDO (AT… 30) E COM AT… TR S VARI¡VEIS, REPRESENTANDO OS DADOS EM TABELAS SIMPLES E DUPLA ...;4
SISTEMA MONET¡RIO BRASILEIRO: RECONHECIMENTO DE C…DULAS, MOEDAS E EQUIVALÍNCIA DE VALORES EM SITUA«ıES DO COTIDIANO.;4
